zipcode,zone,range,zone_general,range_general
01001,6A,-10 to -5,6,-10 to 0
01002,5B,-15 to -10,5,-20 to -10
01003,5B,-15 to -10,5,-20 to -10
01004,5B,-15 to -10,5,-20 to -10
01005,5B,-15 to -10,5,-20 to -10
01007,5B,-15 to -10,5,-20 to -10
01008,5B,-15 to -10,5,-20 to -10
01009,6A,-10 to -5,6,-10 to 0
01010,5B,-15 to -10,5,-20 to -10
01011,5B,-15 to -10,5,-20 to -10
01012,5B,-15 to -10,5,-20 to -10
01013,6A,-10 to -5,6,-10 to 0
01014,6A,-10 to -5,6,-10 to 0
01020,6A,-10 to -5,6,-10 to 0
01021,6A,-10 to -5,6,-10 to 0
01022,6A,-10 to -5,6,-10 to 0
01026,5B,-15 to -10,5,-20 to -10
01027,6A,-10 to -5,6,-10 to 0
01028,6A,-10 to -5,6,-10 to 0
01029,5B,-15 to -10,5,-20 to -10
01030,6A,-10 to -5,6,-10 to 0
01031,5B,-15 to -10,5,-20 to -10
01032,5B,-15 to -10,5,-20 to -10
01033,6A,-10 to -5,6,-10 to 0
01034,5B,-15 to -10,5,-20 to -10
01035,6A,-10 to -5,6,-10 to 0
01036,6A,-10 to -5,6,-10 to 0
01037,6A,-10 to -5,6,-10 to 0
01038,5B,-15 to -10,5,-20 to -10
01039,5B,-15 to -10,5,-20 to -10
01040,6A,-10 to -5,6,-10 to 0
01041,6A,-10 to -5,6,-10 to 0
01050,5B,-15 to -10,5,-20 to -10
01053,5B,-15 to -10,5,-20 to -10
01054,5B,-15 to -10,5,-20 to -10
01056,6A,-10 to -5,6,-10 to 0
01057,6A,-10 to -5,6,-10 to 0
01059,5B,-15 to -10,5,-20 to -10
01060,6A,-10 to -5,6,-10 to 0
01061,6A,-10 to -5,6,-10 to 0
01062,6A,-10 to -5,6,-10 to 0
01063,6A,-10 to -5,6,-10 to 0
01066,5B,-15 to -10,5,-20 to -10
01068,5B,-15 to -10,5,-20 to -10
01069,6A,-10 to -5,6,-10 to 0
01070,5B,-15 to -10,5,-20 to -10
01071,5B,-15 to -10,5,-20 to -10
01072,5B,-15 to -10,5,-20 to -10
01073,6A,-10 to -5,6,-10 to 0
